,Crystal_Structure,Mohs_Hardness,Diaphaneity,Specific_Gravity,Optical,Refractive_Index,Dispersion,Molar_Mass,Molar_Volume,Calculated_Density
211,5.0,4.0,3.0,4.302,3.0,1.938,0.0,375.092902,0.04485679,6.94
212,1.0,4.0,2.0,4.64,4.0,1.885,0.0,363.57319000000007,0.04485437,6.728
213,2.0,4.5,1.0,4.17,4.0,1.839,0.0,394.54563200000007,0.08964737,3.653
214,5.0,9.0,1.0,4.025,3.0,1.765,0.018000000000000002,42.980939,0.01120599,3.1830000000000003
215,3.0,2.5,1.0,5.8,4.0,2.225,0.0,278.1054,0.0220783,10.455
216,2.0,3.75,2.0,2.71,4.0,1.475,0.0,282.218571,0.12330019,1.9
217,4.0,6.5,3.0,2.34,3.0,1.486,0.0,120.1686,0.0448082,2.226
218,2.0,2.75,2.0,6.0,4.0,2.232,0.0,379.0407,0.04481662,7.02
219,5.0,0.0,2.0,3.345,4.0,1.773,0.0,205.79298,0.06723028,2.541
220,2.0,2.75,2.0,2.975,4.0,1.339,0.0,91.959478,0.01125959,6.779
221,4.0,6.25,1.0,4.29,0.0,0.0,0.0,126.03515,0.02244505,4.6610000000000005
222,2.0,5.5,2.0,3.35,4.0,1.67,0.0,724.001139,0.15691265,3.83
223,6.0,3.75,2.0,6.14,2.0,2.849,0.0,79.5454,0.01120309,5.893
224,1.0,4.0,2.0,3.85,4.0,1.662,0.0,479.7018,0.06726169,5.919
225,3.0,4.5,3.0,7.19,4.0,2.107,0.0,1324.5123,0.10089209999999996,10.896
226,2.0,5.5,2.0,2.905,4.0,1.595,0.0,366.475606,0.1009038,3.015
227,2.0,2.5,2.0,3.49,4.0,1.617,0.0,2086.481424,0.35892584,4.825
228,4.0,4.0,2.0,3.088,3.0,1.788,0.0,281.68613,0.04489298,5.207999999999998
229,0.0,5.75,3.0,3.37,2.0,1.759,0.0,141.01008000000004,0.011236469999999998,10.416
230,3.0,7.25,2.0,2.975,4.0,1.633,0.017,158.9715,0.05602239,2.355
231,2.0,5.25,1.0,2.98,4.0,1.651,0.016,159.98010000000005,0.04484439,2.9610000000000003
232,3.0,3.0,3.0,2.436,0.0,1.535,0.0,127.995787,0.0672431,1.58
233,5.0,5.5,1.0,5.41,3.0,0.0,0.0,106.52693899999998,0.01121308,7.885
234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.7793000000004,0.12332927,7.523
235,3.0,0.0,2.0,4.72,0.0,0.0,0.0,750.6153,0.06731457,9.255
236,3.0,3.25,1.0,6.15,4.0,2.267,0.0,388.5377,0.0336418,9.586
237,2.0,2.5,0.0,0.0,4.0,1.631,0.0,1284.9644,0.17963411999999998,5.937
238,4.0,2.5,2.0,0.0,3.0,1.916,0.0,358.65873999999997,0.04449139,6.691
239,3.0,6.75,2.0,3.25,4.0,1.717,0.0,58.980339,0.02240199,2.185
240,2.0,1.75,3.0,2.6,4.0,1.565,0.0,258.160438,0.14564818,1.471
241,2.0,6.0,0.0,3.278,4.0,1.693,0.0,252.1607,0.033654180000000006,6.2189999999999985
242,5.0,5.0,2.0,3.315,3.0,1.681,0.036000000000000004,157.64498,0.06722319,1.946
243,2.0,0.0,0.0,0.0,0.0,0.0,0.0,316.077356,0.08965976,2.926
244,2.0,6.75,2.0,3.9,4.0,1.722,0.0,867.775382,0.13456115999999996,5.353
245,3.0,4.5,2.0,6.5,4.0,2.065,0.0,426.67319,0.04484049,7.898
246,3.0,7.75,2.0,3.35,4.0,1.682,0.0,384.91755600000016,0.12326055,2.592
247,3.0,2.0,3.0,3.325,4.0,1.69,0.0,408.248139,0.04491291,7.545
248,3.0,4.5,0.0,0.0,4.0,1.547,0.0,391.562026,0.07855278,4.137
249,5.0,3.33,1.0,0.0,3.0,1.633,0.0,525.675757,0.06734788,6.478
250,1.0,5.0,1.0,4.535,4.0,2.069,0.0,656.5035999999999,0.10085738,5.403
251,3.0,5.5,1.0,3.25,4.0,1.664,0.0,312.4714,0.06724238,3.857
252,3.0,5.0,2.0,3.07,4.0,1.651,0.0,250.753231,0.07844143,2.653
253,2.0,3.75,2.0,2.984,4.0,1.615,0.0,996.341364,0.31383428,2.635
254,2.0,6.5,1.0,3.45,4.0,1.751,0.019,748.231767,0.1009882,6.15
255,3.0,2.0,2.0,1.675,4.0,1.45,0.0,246.47556000000003,0.28012640000000005,0.73
256,2.0,4.5,1.0,0.0,0.0,1.847,0.0,785.11105,0.06732151,9.68
257,2.0,2.0,2.0,3.06,4.0,1.664,0.0,727.03835,0.07848712,7.688
258,5.0,8.0,1.0,5.18,3.0,0.0,0.0,67.99549999999999,0.01120323,5.037
259,2.0,5.25,1.0,4.35,4.0,1.769,0.0,759.7753,0.13448587999999995,4.689
260,5.0,2.25,1.0,1.77,3.0,1.481,0.0,556.480358,0.45946498,1.005
261,3.0,0.0,0.0,0.0,0.0,0.0,0.0,337.06419000000005,0.04488328,6.233
262,2.0,7.5,2.0,3.045,4.0,1.659,0.016,145.08481899999995,0.04482897,2.6860000000000004
263,5.0,6.5,2.0,0.0,3.0,1.578,0.0,181.072678,0.04484118,3.352
264,5.0,5.5,2.0,2.92,3.0,1.61,0.0,2037.957984,0.1457659199999999,11.604
265,3.0,6.0,1.0,4.85,2.0,2.152,0.0,277.69043,0.0336293,6.854
266,2.0,0.0,0.0,0.0,0.0,0.0,0.0,169.51600000000005,0.05603707,2.511
267,5.0,0.0,3.0,2.52,3.0,1.501,0.0,1727.045179,0.26950956,5.319
268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.337261,0.24649713,1.483
269,2.0,4.25,1.0,7.58,4.0,2.325,0.0,271.6858,0.02240864,10.063
270,5.0,0.0,1.0,4.31,3.0,0.0,0.0,128.70134000000002,0.02242018,4.765
271,5.0,0.0,1.0,0.0,0.0,0.0,0.0,232.5472,0.033627269999999994,5.74
272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.7603680000003,0.1120704,6.553
273,5.0,0.0,0.0,0.0,0.0,0.0,0.0,527.7060349999998,0.07847549,5.581
274,2.0,1.0,3.0,0.8320000000000001,4.0,0.0,0.0,261.47101999999995,0.37003089,0.586
275,1.0,3.75,2.0,3.05,4.0,1.629,0.0,440.88379,0.17925144999999998,2.041
276,3.0,3.0,3.0,2.18,4.0,1.494,0.0,132.007484,0.12328699,0.889
277,5.0,3.5,2.0,2.98,3.0,1.5519999999999998,0.0,70.11380299999999,0.02241639,2.596
278,5.0,7.0,2.0,3.31,3.0,1.695,0.0,763.10881,0.10096586,6.273
279,5.0,3.33,2.0,3.02,3.0,1.629,0.0,719.486197,0.10097168,5.914
280,5.0,7.5,2.0,0.0,3.0,0.0,0.0,680.7379000000002,0.11216908,5.037
281,4.0,4.75,2.0,2.35,3.0,1.534,0.0,209.281023,0.1008957,1.722
282,5.0,2.33,2.0,3.05,3.0,1.77,0.0,207.304103,0.0448703,3.835
283,0.0,4.0,2.0,3.306,2.0,1.4409999999999998,0.006999999999999999,59.076403000000006,0.0112279,4.367
284,2.0,2.5,3.0,0.0,4.0,2.193,0.0,780.840652,0.08966702,7.228
285,3.0,3.5,3.0,0.0,0.0,0.0,0.0,1752.6437999999994,0.1458146,9.976
